Municipi;Codi;Altitud (m);Superfície (km²);Població;longitud;latitud
Abella de la Conca;250019;956;78,27;161;1.0924717;42.16144189
Abrera;80018;105;19,94;12981;1.90260163;41.51617119
Àger;250024;642;160,57;608;0.76367875;41.9995652
Agramunt;250030;337;79,65;5592;1.09885929;41.78723928
Aguilar de Segarra;80023;480;43,32;291;1.63196598;41.73916912
Agullana;170010;166;27,73;910;2.84667014;42.3938047
Aiguafreda;80142;404;7,90;2582;2.25054463;41.76798618
Aiguamúrcia;430017;314;72,95;965;1.36314912;41.34740998
Aiguaviva;170025;169;13,91;800;2.76175915;41.93831798
Aitona;250387;110;66,90;2575;0.45887553;41.49415635
Alamús, els;250045;212;20,53;799;0.73953624;41.61588863
Alàs i Cerc;250058;768;57,67;325;1.50763901;42.35269751
Albagés, l';250061;372;25,70;343;0.73902313;41.449114
Albanyà;170031;239;94,39;167;2.71976685;42.30422037
Albatàrrec;250077;147;10,46;2247;0.60415901;41.57307599
Albesa;250083;237;37,61;1571;0.66040759;41.75136441
Albi, l';250096;526;32,54;764;0.93657985;41.42289588
Albinyana;430022;198;19,37;2678;1.4863641;41.24574484
Albiol, l';430038;823;20,34;538;1.08912684;41.25205054
Albons;170046;25;11,13;828;3.08528858;42.10439845
Alcanar;430043;72;47,07;9871;0.48077072;40.54324387
Alcanó;250100;214;21,03;240;0.61677675;41.48124482
Alcarràs;250117;137;114,29;10217;0.52520082;41.56312845
Alcoletge;250122;213;16,70;3621;0.69416188;41.64730417
Alcover;430056;243;46,00;5334;1.16885828;41.2629114
Aldea, l';439044;9;35,21;4554;0.62237072;40.74726814
Aldover;430069;14;20,20;897;0.5000585;40.87990045
Aleixar, l';430075;262;26,10;980;1.04619311;41.20163187
Alella;80039;90;9,58;10200;2.29495688;41.49373219
Alfara de Carles;430081;334;63,87;363;0.4005653;40.87334483
Alfarràs;250138;281;11,40;2759;0.57044997;41.82951572
Alfés;250143;236;31,94;284;0.62100071;41.52161845
Alforja;430094;374;38,24;2027;0.97541316;41.21035932
Algerri;250156;345;54,32;426;0.63853795;41.81608339
Alguaire;250169;304;50,11;2992;0.58383043;41.73635399
Alins;250175;1048;183,19;275;1.31747273;42.54879501
Alió;430108;263;7,25;506;1.30634069;41.29466394
Almacelles;250194;247;49,03;7031;0.43709454;41.73174426
Almatret;250208;462;56,83;303;0.42413571;41.30532865
Almenar;250215;329;66,59;3321;0.56789509;41.797844
Almoster;430115;290;5,96;1338;1.11359781;41.19774417
Alòs de Balaguer;250220;297;69,08;118;0.9610951;41.9122579
Alp;170062;1158;44,29;1727;1.88538915;42.37256346
Alpens;80044;855;13,80;270;2.10127267;42.11932091
Alpicat;250236;264;15,33;6466;0.55519835;41.66663439
Alt Àneu;250241;1076;217,76;457;1.10936934;42.63273666
Altafulla;430120;52;6,95;5809;1.37605008;41.14275013
Amer;170078;186;40,08;2421;2.60301889;42.00924462
Ametlla de Mar, l';430136;19;66,86;7347;0.80316591;40.88395787
Ametlla del Vallès, l';80057;281;14,24;9448;2.25925558;41.67330125
Ampolla, l';439060;8;35,65;3692;0.71014087;40.81225126
Amposta;430141;8;138,31;22623;0.58108201;40.71330218
Anglès;170084;181;16,31;5915;2.64005865;41.95744641
Anglesola;250273;335;23,53;1370;1.08137944;41.65886824
Arbeca;250292;332;58,34;2085;0.9241543;41.54165167
Arboç, l';430167;166;14,13;5745;1.60352183;41.26763806
Arbolí;430154;714;20,78;129;0.94872456;41.24234713
Arbúcies;170097;291;86,22;6555;2.51416797;41.81608062
Arenys de Mar;80060;10;6,75;16513;2.55149759;41.57938541
Arenys de Munt;80076;121;21,29;9444;2.54038107;41.60899336
Argelaguer;170101;183;12,54;451;2.64158377;42.21317776
Argençola;80082;716;47,09;241;1.44355474;41.59783256
Argentera, l';430173;344;10,12;129;0.90928305;41.13750072
Argentona;80095;88;25,40;12850;2.40066398;41.55472727
Armentera, l';170118;7;5,60;1070;3.07452397;42.1721013
Arnes;430189;506;42,97;463;0.26088266;40.91000513
Arres;250313;1224;11,57;63;0.7117209;42.75512059
Arsèguel;250328;950;10,59;78;1.58263017;42.35019415
Artés;80109;316;17,87;6051;1.95351624;41.79819381
Artesa de Lleida;250334;202;23,94;1536;0.70367123;41.55179061
Artesa de Segre;250349;318;175,90;3519;1.04532859;41.8956921
Ascó;430192;70;73,63;1609;0.56744332;41.18063102
Aspa;250365;256;10,21;219;0.67232501;41.49559161
Avellanes i Santa Linya, les;250371;567;102,96;430;0.76375281;41.90884911
Avià;80116;677;27,23;2242;1.82561189;42.07771723
Avinyó;80121;353;63,23;2311;1.97131845;41.86375268
Avinyonet de Puigventós;170123;70;12,30;1689;2.91470177;42.24953486
Avinyonet del Penedès;80137;280;29,13;1745;1.7760176;41.35966722
Badalona;80155;6;21,18;226219;2.24587666;41.45226335
Badia del Vallès;89045;120;0,93;13109;2.11334705;41.50907052
Bagà;80168;785;43,13;2181;1.86192632;42.25281558
Baix Pallars;250390;591;129,41;344;1.06420985;42.32271538
Balaguer;250404;233;57,32;17597;0.80529735;41.78973778
Balenyà;80174;587;17,35;3999;2.23504376;41.81038158
Balsareny;80180;327;36,91;3325;1.87676564;41.86311546
Banyeres del Penedès;430206;173;12,19;3340;1.58094927;41.27950693
Banyoles;170157;172;11,05;20707;2.76537061;42.11810557
Barbens;250411;283;7,56;908;1.01835755;41.67901524
Barberà de la Conca;430213;475;26,60;480;1.22832391;41.41091585
Barberà del Vallès;82520;146;8,31;33644;2.12459558;41.51608259
Barcelona;80193;9;101,35;1686208;2.17703293;41.38272127
Baronia de Rialb, la;250426;388;145,08;230;1.19657904;41.93152794
Bàscara;170160;66;17,50;1055;2.91044457;42.15973575
Bassella;250447;423;70,25;210;1.29522907;42.00604184
Batea;430228;376;128,41;1881;0.31141383;41.09446232
Bausen;250450;931;17,72;60;0.71688106;42.83466985
Begues;80207;399;50,44;7439;1.92174538;41.33267298
Begur;170139;200;20,66;4227;3.20707321;41.95433766
Belianes;250463;373;15,69;518;1.01751148;41.56172814
Bellaguarda;251706;640;17,14;295;0.73595772;41.33764552
Bellcaire d'Empordà;170182;35;12,64;737;3.09427099;42.08076002
Bellcaire d'Urgell;250479;267;31,38;1226;0.90622482;41.75937145
Bell-lloc d'Urgell;250485;196;34,92;2347;0.77943184;41.62963892
Bellmunt d'Urgell;250498;379;5,11;183;0.95209664;41.7743267
Bellmunt del Priorat;430234;261;8,86;294;0.76674909;41.16525256
Bellprat;80214;653;30,97;69;1.433983;41.5171521
Bellpuig;250501;308;34,98;5246;1.0111537;41.62597958
Bellvei;430249;108;8,27;2409;1.57659235;41.24129715
Bellver de Cerdanya;250518;1061;98,15;2266;1.77435348;42.37065433
Bellvís;250523;207;46,70;2251;0.81747777;41.6718278
Benavent de Segrià;250539;234;7,43;1571;0.63303198;41.6959255
Benifallet;430252;19;62,42;724;0.51780816;40.97390263
Benissanet;430265;26;23,06;1192;0.63459529;41.0567063
Berga;80229;704;22,57;17195;1.84621812;42.10436455
Besalú;170195;151;4,93;2577;2.6995121;42.19889185
Bescanó;170209;102;35,92;5122;2.74216893;41.96560047
Beuda;170216;338;35,91;205;2.70951599;42.23705332
Bigues i Riells del Fai;80235;307;28,64;10035;2.22234828;41.67885098
Biosca;250557;455;66,21;177;1.35874896;41.84227767
Bisbal d'Empordà, la;170221;39;20,62;11637;3.03855032;41.95969679
Bisbal de Falset, la;430271;372;14,14;207;0.72336187;41.28027022
Bisbal del Penedès, la;430287;189;32,54;4183;1.48785618;41.28089741
Biure;172348;81;10,02;225;2.89499888;42.33765799
Blancafort;430290;428;14,48;393;1.1592566;41.4378585
Blanes;170237;13;17,66;41935;2.79240678;41.67576646
Boadella i les Escaules;170293;82;10,78;260;2.85549961;42.33005022
Bolvir;170242;1145;10,34;497;1.87989086;42.41782046
Bonastre;430304;177;24,97;762;1.43989563;41.22080971
Bòrdes, Es;250576;852;21,44;281;0.71925251;42.73801874
Bordils;170255;42;7,32;1801;2.91319148;42.04089788
Borges Blanques, les;250582;304;61,55;6340;1.01936746;41.17201808
Borges del Camp, les;430311;238;8,24;2256;1.01936746;41.17201808
Borrassà;170268;73;9,45;774;2.92630935;42.22279456
Borredà;80240;854;43,45;426;1.99413992;42.13557149
Bossòst;250595;710;28,17;1144;0.69201627;42.78559396
Bot;430326;286;34,94;552;0.38481797;41.00915667
Botarell;430332;196;11,95;1170;0.98901485;41.13605158
Bovera;250560;297;31,12;253;0.63886563;41.32647156
Bràfim;430347;236;6,42;697;1.34129039;41.26874906
Breda;170274;169;5,02;3917;2.55695161;41.74853895
Bruc, el;80253;489;47,20;2293;1.78402283;41.57762008
Brull, el;80266;843;41,03;293;2.30524775;41.81687675
Brunyola i Sant Martí Sapresa;170280;247;36,82;393;2.68479214;41.90520074
Cabacés;430350;358;31,27;301;0.73364864;41.24744464
Cabanabona;250609;421;14,16;65;1.21644865;41.85163381
Cabanelles;170314;194;55,58;280;2.81969804;42.23084786
Cabanes;170307;26;15,02;975;2.97828324;42.30700039
Cabanyes, les;80272;252;1,15;1011;1.6841431;41.3722707
Cabó;250616;768;80,33;91;1.24717219;42.238892
Cabra del Camp;430363;493;26,95;1325;1.2769433;41.39529432
Cabrera d'Anoia;80288;299;17,00;1712;1.70463282;41.47794178
Cabrera de Mar;80291;104;8,98;5014;2.39329734;41.52590085
Cabrils;80305;147;7,05;7764;2.36845048;41.52560018
Cadaqués;170329;23;26,43;2894;3.27586982;42.28808717
Calaf;80312;680;9,22;3595;1.51094406;41.73401913
Calafell;430379;67;20,38;31567;1.56864179;41.20115854
Calders;80348;552;33,09;1114;1.9918776;41.78938243
Caldes d'Estrac;80327;33;0,88;3241;2.52781126;41.57249844
Caldes de Malavella;170335;84;57,33;8445;2.80953723;41.83890036
Caldes de Montbui;80333;203;37,45;18334;2.1629303;41.6344595
Calella;80351;5;8,00;20207;2.65722401;41.61337935
Calldetenes;80370;489;5,80;2690;2.28454034;41.92468966
Callús;80386;260;12,50;2151;1.78413527;41.78127786
Calonge de Segarra;80364;688;37,15;174;1.49318068;41.73983598
Calonge i Sant Antoni;170340;22;33,57;12203;3.07661623;41.86175047
Camarasa;250621;321;157,13;818;0.87788211;41.87513124
Camarles;439039;13;25,16;3428;0.6696731;40.77214068
Cambrils;430385;24;35,21;36686;1.05168805;41.07432745
Camós;170353;168;15,66;713;2.76719933;42.09417139
Campdevànol;170366;738;32,62;3250;2.16721333;42.22446763
Campelles;170372;1303;18,64;165;2.14012805;42.2942297
Campins;80399;321;7,29;609;2.46343094;41.72464353
Campllong;170388;113;8,59;544;2.8300761;41.89075607
Camprodon;170391;947;103,38;2521;2.36507827;42.31174178
Canejan;250637;906;48,32;101;0.73980424;42.83817812
Canet d'Adri;170405;217;44,41;744;2.73702525;42.03342444
Canet de Mar;80403;15;5,56;15135;2.58269724;41.58932479
Canonja, la;439076;50;7,32;5936;1.17909866;41.12341377
Canovelles;80410;175;6,66;17264;2.27717906;41.62183853
Cànoves i Samalús;80425;346;29,19;3309;2.35516814;41.69436199
Cantallops;170412;200;19,62;346;2.92531851;42.42200791
Canyelles;80431;142;14,23;5360;1.72217102;41.28615905
Capafonts;430398;751;13,35;106;1.02752746;41.29497155
Capçanes;430402;223;22,49;426;0.78153729;41.09986043
Capellades;80446;317;2,94;5558;1.68605181;41.53116161
Capmany;170427;107;26,40;691;2.92102316;42.37249324
Capolat;80459;1279;34,13;92;1.75309222;42.07797171
Cardedeu;80462;193;12,10;19091;2.35595316;41.63852816
Cardona;80478;507;66,70;4566;1.68113098;41.91329668
Carme;80484;351;11,68;819;1.62011493;41.53217802
Caseres;430419;324;42,90;240;0.2507661;41.03853899
Cassà de la Selva;170448;137;45,21;10941;2.87423939;41.88738231
Casserres;80497;611;29,46;1675;1.84171215;42.01371242
Castell d'Aro, Platja d'Aro i s'Agaró;170486;5;21,74;12773;3.07063267;41.81743684
Castell de l'Areny;80575;954;24,35;69;1.94537871;42.17318737
Castell de Mur;259046;532;62,42;175;0.8764013;42.0925237
Castellar de la Ribera;250642;657;60,19;144;1.41599913;42.02269313
Castellar de n'Hug;80522;1395;47,12;164;2.01718895;42.28287917
Castellar del Riu;80500;920;32,74;163;1.70891744;42.13159625
Castellar del Vallès;80517;331;44,91;25301;2.08722962;41.61726822
Castellbell i el Vilar;80538;178;28,47;4130;1.86108834;41.63036571
Castellbisbal;80543;132;31,03;12965;1.98055646;41.47490537
Castellcir;80556;773;34,18;778;2.14971647;41.76043865
Castelldans;250674;353;65,10;891;0.76532387;41.49774416
Castelldefels;80569;3;12,87;69196;1.97701006;41.28047213
Castellet i la Gornal;80581;137;47,48;2665;1.58921816;41.25410512
Castellfollit de la Roca;170464;296;0,73;947;2.55007563;42.21926791
Castellfollit de Riubregós;80608;467;26,21;151;1.43822788;41.77617438
Castellfollit del Boix;80594;700;58,90;460;1.68367488;41.66675842
Castellgalí;80615;266;17,21;2339;1.83972002;41.676422
Castellnou de Bages;80620;469;29,16;1430;1.83737149;41.83428249
Castellnou de Seana;250680;269;16,11;728;0.97090731;41.64831782
Castelló d'Empúries;170470;17;42,30;12132;3.07443446;42.25832371
Castelló de Farfanya;250693;358;52,62;543;0.72755023;41.82037039
Castellolí;80636;415;25,28;659;1.70068389;41.59835563
Castellserà;250707;267;15,84;992;0.98695869;41.74690001
Castellterçol;80641;726;31,90;2766;2.12053476;41.75148279
Castellvell del Camp;430424;219;5,21;2991;1.09626892;41.18117702
Castellví de la Marca;80654;198;28,40;1714;1.62094771;41.32654553
Castellví de Rosanes;80667;178;16,38;2098;1.90029141;41.44878533
Catllar, el;430430;59;26,43;5215;1.32625084;41.17538073
Cava;250714;1335;42,19;40;1.585329;42.3257107
Cellera de Ter, la;171899;166;14,63;2013;2.6207366;41.96830412
Celrà;170499;71;19,53;5553;2.87894731;42.02469081
Centelles;80673;496;15,18;7771;2.21907094;41.79750909
Cercs;82687;650;47,35;1193;1.86074923;42.14598452
Cerdanyola del Vallès;82665;82;30,56;57831;2.14057196;41.4913073
Cervelló;80689;122;24,10;9633;1.95910432;41.39610701
Cervera;250729;548;55,19;9553;1.2710202;41.66574175
Cervià de les Garrigues;250735;444;34,20;640;0.85896908;41.42495271
Cervià de Ter;170502;45;9,90;997;2.90965017;42.06771242
Cistella;170519;130;25,55;294;2.84727507;42.26868136
Ciutadilla;250740;519;17,03;194;1.13928451;41.56163552
Clariana de Cardener;250753;500;40,78;160;1.62502833;41.93384621
Cogul, el;250766;279;17,51;162;0.68945469;41.46701995
Colera;170545;10;24,35;490;3.15076621;42.40384875
Coll de Nargó;250772;573;151,41;583;1.31577047;42.17470995
Collbató;80692;388;18,07;4847;1.82816787;41.57028657
Colldejou;430458;431;14,48;161;0.88752063;41.09950399
Collsuspina;80706;901;15,08;390;2.17521281;41.82560516
Colomers;170558;41;4,35;205;2.98759473;42.0841721
Coma i la Pedra, la;251636;1004;60,62;283;1.59134934;42.17560228
Conca de Dalt;251615;507;166,48;435;0.97163744;42.24443678
Conesa;430461;705;29,02;113;1.2912073;41.51858253
Constantí;430477;81;30,87;6921;1.21259244;41.15385445
Copons;80713;432;18,66;352;1.51870774;41.63711085
Corbera d'Ebre;430483;337;53,09;1016;0.47794795;41.07766043
Corbera de Llobregat;80728;342;18,41;15783;1.92304224;41.41779856
Corbins;250788;211;21,01;1483;0.69298982;41.69062161
Corçà;170577;43;16,29;1282;3.01783504;41.98941249
Cornellà de Llobregat;80734;27;6,99;91196;2.07053455;41.35574736
Cornellà del Terri;170561;96;27,71;2394;2.81602089;42.09002599
Cornudella de Montsant;430496;533;63,50;1033;0.90580747;41.26564638
Creixell;430509;48;10,46;4169;1.44069294;41.16774336
Crespià;170583;138;11,38;251;2.79847983;42.18712202
Cruïlles, Monells i Sant Sadurní de l'Heura;179011;110;99,84;1323;3.01219622;41.9564846
Cubelles;80749;12;13,49;17300;1.67237288;41.20831289
Cubells;250791;499;39,17;342;0.95889945;41.85159097
Cunit;430516;10;9,74;15750;1.63446619;41.1984463
Darnius;170600;193;34,93;549;2.83195833;42.36855278
Das;170617;1219;14,58;270;1.87012501;42.36109232
Deltebre;439018;6;107,44;11941;0.73525919;40.71822153
Dosrius;80752;147;40,73;6152;2.40675598;41.59434162
Duesaigües;430537;268;13,58;223;0.93080031;41.14611306
Escala, l';170622;14;16,31;10630;3.13250206;42.12479044
Esparreguera;80765;187;27,40;22499;1.87041161;41.53901438
Espinelves;170638;752;17,43;254;2.41726622;41.86898054
Espluga Calba, l';250812;434;21,53;332;1.00365052;41.4950131
Espluga de Francolí, l';430542;411;56,97;3850;1.10444334;41.39663891
Esplugues de Llobregat;80771;110;4,60;47700;2.08800477;41.37752166
Espolla;170643;124;43,55;412;3.00086564;42.391085
Esponellà;170656;142;16,06;438;2.79507325;42.17893414
Espot;250827;1318;97,30;379;1.08896085;42.57581977
Espunyola, l';80787;803;35,46;263;1.77022229;42.05301563
Esquirol, l';82541;693;61,80;2275;2.37009534;42.03482801
Estamariu;250886;1084;21,16;133;1.52267665;42.37306415
Estany, l';80790;870;10,25;401;2.11230779;41.86897946
Estaràs;250851;596;20,99;162;1.3782537;41.69158635
Esterri d'Àneu;250864;957;8,49;920;1.1222764;42.62864206
Esterri de Cardós;250870;1212;16,55;63;1.26172012;42.59266799
Falset;430555;364;31,62;2875;0.82011839;41.14598035
Far d'Empordà, el;170059;44;9,00;626;2.99623532;42.25167974
Farrera;250899;1294;61,87;128;1.27309862;42.50446939
Fatarella, la;430568;487;56,52;856;0.47325017;41.16236913
Febró, la;430574;754;16,08;36;1.00397576;41.2772877
Figaró-Montmany;81347;330;14,99;1190;2.27420797;41.72350778
Fígols;80804;1154;29,31;42;1.33956335;42.20286242
Fígols i Alinyà;259084;602;101,80;244;1.3410932;42.20335296
Figuera, la;430580;576;18,69;123;0.73146929;41.21617339
Figueres;170669;39;19,30;48670;2.96079686;42.26725303
Figuerola del Camp;430593;474;22,72;346;1.26496538;41.37144108
Flaçà;170675;34;6,53;1145;2.95773531;42.04707389
Flix;430607;47;116,90;3323;0.55017017;41.2319023
Floresta, la;250925;316;5,46;164;0.91958904;41.51038466
Fogars de la Selva;80826;45;32,12;1678;2.67164436;41.73501147
Fogars de Montclús;80811;386;39,72;503;2.44352087;41.72793648
Foixà;170681;85;18,80;291;2.99654593;42.03966126
Folgueroles;80832;552;10,47;2262;2.31893937;41.93868614
Fondarella;250931;243;5,43;807;0.87447412;41.63468324
Fonollosa;80847;525;51,67;1584;1.66869224;41.76339325
Fontanals de Cerdanya;170694;1180;28,65;531;1.90029028;42.38502728
Fontanilles;170708;29;9,28;168;3.10709703;42.00994757
Fontcoberta;170715;207;17,28;1501;2.78908297;42.14295457
Font-rubí;80850;319;37,42;1432;1.65311966;41.41394879
Foradada;250946;455;28,55;200;1.01244569;41.87677525
Forallac;179026;51;50,63;1761;3.05609612;41.96049386
Forès;430614;866;16,03;40;1.23810933;41.49446129
Fornells de la Selva;170736;102;11,86;2780;2.81223766;41.93092034
Fortià;170741;8;10,76;801;3.04070454;42.24200839
Franqueses del Vallès, les;80863;181;29,14;20667;2.300532;41.62892348
Freginals;430629;126;17,59;425;0.52003631;40.67172661
Fuliola, la;250962;275;11,05;1249;1.01852544;41.71301072
Fulleda;250978;581;16,18;92;1.02433158;41.46361526
Gaià;80902;481;39,48;178;1.92564492;41.91649272
Galera, la;430635;112;27,47;717;0.46337346;40.68163896
Gallifa;80879;502;16,33;174;2.11545262;41.69323491
Gandesa;430640;363;71,15;3160;0.43921435;41.052136
Garcia;430653;73;52,37;540;0.65012538;41.13698576
Garidells, els;430666;132;3,07;204;1.2467292;41.20736646
Garriga, la;80885;252;18,80;17277;1.76305595;41.86814344
